Date,Days_Operating_in a Week,Failed_Gadgets,Gadgets_in_Production
5/2/2022,5,67,160706
5/9/2022,5,81,160706
5/16/2022,5,76,160706
5/23/2022,5,71,160706
5/30/2022,4,66,173142
6/6/2022,5,95,173142
6/13/2022,5,96,173142
6/20/2022,4,74,173142
6/27/2022,5,100,184591
7/4/2022,4,83,184591
7/11/2022,5,101,184591
7/18/2022,5,114,184591
7/25/2022,5,87,184591
8/1/2022,5,91,210677
8/8/2022,5,88,210677
8/15/2022,5,79,210677
8/22/2022,5,105,210677
8/29/2022,5,77,210677
9/5/2022,4,84,203561
9/12/2022,5,106,203561
9/19/2022,5,95,203561
9/26/2022,5,100,203561
10/3/2022,5,92,196771
10/10/2022,5,75,196771
10/17/2022,5,93,196771
10/24/2022,5,77,196771
10/31/2022,5,85,196771
11/7/2022,5,97,195824
11/14/2022,5,78,195824
11/21/2022,3,68,195824
11/28/2022,5,107,195824
12/5/2022,5,109,190186
12/12/2022,5,95,190186
12/19/2022,4,72,190186
